stage,host,path,entry,answer,carry,flag,blue_points,red_points
1,Coruscant,Balcony\patio.exe,vanguard-k7m4p9,lantern,balcony,SB{690751ded03cd673b14da08d},20,10
2,Kamino,Comms\routecache.exe,a2c7e62469a9,7341,witness,SB{9e398114a77369eda137a806},20,10
3,Felucia,Relay\undertone.exe,16e79f560e5e,sentinel,senate,SB{1ef30da7bb05bb863281b899},20,10
4,Coruscant,Evidence\receiver.exe,6217fb0a2f5e,senate-0427,river,SB{ad8f9b2faf145f97f8cdfa35},40,20
5,Naboo,Courier\departure.exe,d1aa9f07a324,reed,pilot,SB{87d158b784ea43a80e728be3},20,10
6,Alderaan,Depot\stockroom.exe,62389486780f,transport,hangar,SB{201dcfc07bd2734e16a99b20},20,10
7,Naboo,Escort\watchman.exe,f1a869b2a61e,holdfast,marsh,SB{bf9df0574c7362205a8131ec},20,10
8,Kamino,Flight\launchwindow.exe,cbc06ca86f8a,marsh-2187,rainfall,SB{9d94c713b7dfd1073423d1e6},40,20
9,Felucia,Weather\atmosphere.exe,767b3c73489d,rain,cadet,SB{8c49ce201809ef89748bc876},20,10
10,Kamino,Records\ownercheck.exe,b5ec655ae633,ct-6116,rook,SB{4cbefebcd9f2a140d6476b51},20,10
11,Alderaan,Records\clearance.exe,f28188ee9138,brother,brother,SB{adb70688bdabca600a64af10},20,10
12,Coruscant,Dispatch\pathfinder.exe,b18b3a8611aa,brother-5502,spore,SB{de2450a4d1c3335ad9f5bb39},40,20
13,Felucia,Wreck\camouflage.exe,63ac4790a278,violet,wreck,SB{e0c56910d6a28ff19a653841},20,10
14,Naboo,Telemetry\heartbeat.exe,acb34e839938,9771,signal,SB{b791efacfbdbcb7ca989725f},20,10
15,Alderaan,Analysis\coldmemory.exe,5f2629e19bb3,clanker,clanker,SB{a245bb2291c6d57a4bca1bf6},20,10
16,Felucia,Salvage\memorybank.exe,b914579c0e6c,clanker-9036,alderaan,SB{b98f9a98535a07a3a9c08c63},40,20
17,Coruscant,Directory\twinvoice.exe,0c40567c1f56,mercy-beacon-anchor,council,SB{4b594ed054dd9395e9b8b060},20,10
18,Kamino,Orders\checksum.exe,6c8b44f52764,transport-7,rescue,SB{a8bb3b58dfc7c5c9920fa2cb},20,10
19,Alderaan,Archive\echo.exe,64b943fe7386,dawn,dawn,SB{6c84089a3d74486dbb8b65d5},20,10
20,Naboo,Circuit\system66.exe,feecf4e893ff,system,nova,SB{3774abf70fe6bb7a24ec81db},20,10
21,Alderaan,Control\lastlight.exe,90149c7d22e1,nova-2714,complete,SB{73688da624064098bf450496},40,20
